vessel_id,block,length,width,height,weight,location
 SN2603, E520S,22.0,14.0,5.3,59.0,사내
 SN2627, S131S,23.0,18.0,2.5,106.0,성동
 SN2615, F32CC,11.0,8.0,2.2,11.0,사내
 SN2627, D380S,19.0,13.0,5.3,57.0,성동
 SN2597, F440C,17.0,17.0,8.1,35.0,사내
 SN2591, E130C,16.0,12.0,4.7,3.0,봉암8
 SN2615, M110S,13.0,11.0,4.3,39.0,봉암9
 SN2603, S120S,22.0,19.0,5.4,64.0,오비1
 SN2603, F422S,12.0,11.0,3.8,12.0,사내
 SN2603, D131S,16.0,11.0,1.9,36.0,봉암9
 SN2601, E540C,22.0,19.0,5.2,83.0,덕곡1
 SN2614, S310S,15.0,11.0,3.1,17.0,봉암8
 SN2455, M610S,20.0,12.0,4.3,60.0,성동
 SN2611, D350P,16.0,13.0,4.2,24.0,오비3
 SN2603, E360C,11.0,10.0,1.8,6.0,한내
 SN2453, C710P,19.0,11.0,0.7,9.0,사내
 SN2456, E242C,11.0,7.0,5.2,3.0,성동
 SN2601, B121S,20.0,16.0,3.2,100.0,사내
 SN2598, D311P,22.0,14.0,4.7,52.0,사내
 SN2602, G130S,16.0,11.0,4.3,18.0,한내
 SN2614, F631P,12.0,12.0,4.0,24.0,사내
 SN2611, F131S,11.0,11.0,3.1,13.0,성동
 SN2598, H150S,15.0,11.0,8.2,14.0,사내
 SN2627, E410S,20.0,12.0,5.2,34.0,사내
 SN2612, E330S,15.0,15.0,5.4,30.0,사내
 SN2615, D170C,15.0,12.0,5.8,12.0,신한내
 SN2602, T350P,17.0,16.0,2.8,33.0,사내
 SN2590, A420S,15.0,11.0,5.1,18.0,성동
 SN2603, D120C,20.0,16.0,2.7,47.0,사내
 SN2611, S120P,22.0,19.0,5.4,63.0,사내
 SN2611, S140P,21.0,19.0,5.4,62.0,오비1
 SN2590, S620P,18.0,17.0,5.9,28.0,사내
 SN2611, E370C,19.0,11.0,4.9,18.0,봉암9
 SN2603, D411P,20.0,13.0,4.1,43.0,사내
 SN2603, E530C,21.0,20.0,5.2,102.0,사내
 SN2611, A210S,21.0,18.0,8.0,51.0,사내
 SN2603, D330S,16.0,13.0,4.2,25.0,사내
 SN2603, T310S,16.0,15.0,2.7,75.0,사내
 SN2627, A220S,18.0,11.0,3.2,30.0,한내
