vessel_id,block,length,width,height,weight,location
 SN2611, D320P,16.0,14.0,4.2,25.0,사내
 SN2608, E115P,11.0,7.0,4.8,5.0,OFD
 SN2612, M210S,20.0,11.0,3.6,55.0,봉암8
 SN2615, E53AP,16.0,11.0,1.8,25.0,봉암8
 SN2615, S08AS,15.0,11.0,1.8,8.0,사내
 SN2598, D311S,22.0,14.0,4.7,53.0,신한내
 SN2611, F521P,16.0,11.0,2.8,11.0,신한내
 SN2597, D340S,21.0,14.0,4.4,34.0,사내
 SN2627, B131P,25.0,18.0,2.3,67.0,사내
 SN2455, M910S,16.0,12.0,3.2,34.0,성동
 SN2598, Y900S,11.0,9.0,2.4,23.0,오비1
 SN2603, H140S,21.0,12.0,6.4,33.0,한내
 SN2607, F11AP,17.0,11.0,2.6,18.0,한내
 SN2456, E512P,19.0,11.0,2.0,17.0,사내
 SN2614, E530S,16.0,15.0,6.5,33.0,사내
 SN2611, D171S,20.0,11.0,1.9,45.0,사내
 SN2615, S350S,14.0,11.0,7.0,16.0,사내
 SN2611, D710S,15.0,11.0,5.8,7.0,사내
 SN2598, B120P,20.0,17.0,3.1,65.0,사내
 SN2603, F131P,11.0,11.0,3.1,13.0,사내
 SN2602, D180C,20.0,16.0,2.7,45.0,사내
 SN2612, E514S,21.0,11.0,2.8,15.0,성동
 SN2455, S181S,28.0,18.0,2.5,112.0,사내
 SN2455, S403S,18.0,11.0,2.6,17.0,사내
 SN2611, S140S,21.0,19.0,5.4,61.0,덕곡1
 SN2456, D291P,12.0,11.0,2.0,5.0,사내
 SN2463, E24AS,11.0,10.0,2.5,7.0,OFD
 SN2607, E320P,16.0,13.0,4.9,27.0,신한내
 SN2590, T190C,12.0,11.0,2.2,25.0,봉암9
 SN2590, F730P,15.0,11.0,4.4,25.0,사내
 SN2615, C360P,15.0,11.0,0.7,7.0,한내
 SN2612, E524S,11.0,9.0,4.1,4.0,봉암8
 SN2456, E341S,13.0,12.0,5.7,32.0,성동
 SN2615, E130C,16.0,12.0,4.7,3.0,덕곡1
 SN2612, B111P,22.0,16.0,3.2,115.0,사내
 SN2615, A421S,11.0,6.0,4.9,8.0,사내
 SN2598, E410S,23.0,22.0,5.9,98.0,신한내
 SN2597, D140C,21.0,20.0,1.9,55.0,오비1
 SN2615, E55AC,11.0,9.0,5.2,13.0,봉암8
 SN2598, D311P,22.0,14.0,4.7,52.0,신한내
 SN2611, H110P,22.0,12.0,7.8,34.0,성동
 SN2603, D391S,15.0,14.0,4.1,37.0,사내
 SN2616, E322P,15.0,11.0,3.8,27.0,OFD
 SN2601, T520S,11.0,6.0,2.9,3.0,한내
 SN2455, S120S,24.0,20.0,3.4,60.0,사내
 SN2455, W820P,19.0,11.0,2.3,18.0,사내
 SN2612, E511P,17.0,11.0,1.9,20.0,봉암8
 SN2615, S08AP,15.0,11.0,1.8,8.0,봉암9
 SN2598, B120S,20.0,17.0,3.1,66.0,사내
 SN2598, D37AP,22.0,11.0,2.2,26.0,오비1
 SN2614, S380P,15.0,14.0,3.1,20.0,성동
 SN2603, D120C,20.0,16.0,2.7,47.0,사내
 SN2614, S400S,17.0,13.0,8.4,17.0,사내
 SN2590, F730S,14.0,11.0,4.4,22.0,덕곡2
 SN2615, D180C,15.0,12.0,5.8,19.0,사내
 SN2598, T320S,26.0,16.0,3.1,70.0,사내
 SN2603, D130C,20.0,16.0,1.9,47.0,사내
 SN2590, E650C,15.0,15.0,2.0,57.0,사내
 SN2598, B151S,17.0,15.0,3.1,84.0,사내
 SN2627, E470S,11.0,6.0,2.6,2.0,사내
 SN2590, A410S,12.0,11.0,6.6,11.0,사내
 SN2597, F310P,15.0,12.0,8.2,10.0,OFD
 SN2611, D381S,16.0,14.0,4.1,35.0,사내
 SN2602, D710S,15.0,11.0,5.9,7.0,한내
 SN2453, S390S,20.0,11.0,5.9,48.0,성동
 SN2598, D712S,19.0,11.0,1.0,14.0,덕곡2
 SN2455, F310P,16.0,13.0,7.8,24.0,한내
