vessel_id,block,length,width,height,weight
 SN2603, T110P,15,14.8,2.7,71
 SN2603, T110S,15,15,2.7,86
 SN2611, B120P,21.5,15.7,3.2,68
 SN2611, B120S,21.5,15.7,3.2,66
 SN2601, S131P,21.6,15.3,2.6,101
 SN2601, S131S,21.6,15.3,2.6,101
 SN2603, D141S,20,9.9,1.9,52
 SN2454, S402P,17.6,3.5,1.8,0
 SN2454, S402S,17.6,3.5,1.8,0
 SN2627, S102P,19.2,3.3,2.1,0
 SN2627, S102S,19.2,3.3,2.1,0
 SN2456, D291S,9.2,4.3,2,4
 SN2463, D29BP,13,4.3,2,7
 SN2463, D29BS,12.6,4.3,2,8
 SN2463, D29CS,15.8,4.3,2,10
 SN2598, B120P,20,16.2,3.1,65
 SN2598, B120S,20,16.2,3.1,66
 SN2601, D311P,19.7,13.8,4.9,48
 SN2601, D711S,16,6.8,2.1,16
 SN2601, D721S,12.3,4.6,1,6
 SN2601, T310S,15.9,14.9,2.8,73
 SN2601, T320P,17.5,16.5,2.9,44
 SN2601, T320S,17.5,15.7,2.9,42
 SN2603, D171P,20,10,1.9,46
 SN2603, D171S,20,9.9,1.9,45
 SN2607, S13AP,20.8,5.4,2.7,24
 SN2607, S13AS,20.8,5.4,2.7,24
 SN2611, D171P,20,10,1.9,46
 SN2611, D171S,20,9.9,1.9,45
 SN2611, D340P,20,13,4.2,31
 SN2611, D340S,20,13,4.2,31
 SN2611, D500P,7.9,5.1,2.4,4
 SN2611, D500S,7.9,5.1,2.4,4
 SN2611, D530S,15.5,5,2.2,16
 SN2612, B151P,20.6,15.7,3.2,121
 SN2612, S16AP,19.5,5.4,2.7,21
 SN2612, S16AS,19.5,5.4,2.7,21
 SN2611, T350P,15.7,16.7,2.8,33
 SN2601, B120P,20,16,3.2,70
 SN2601, B130P,21.6,16,3.2,66
 SN2455, S180P,17.3,28.9,5.4,39
 SN2598, D711S,18.3,6.8,1,15
 SN2598, D712S,18.3,6.6,1,14
 SN2598, S113P,20.7,5.3,2.8,32
 SN2598, S113S,20.7,5.3,2.8,32
 SN2602, D200C,17.5,19.9,1.9,43
 SN2627, B180S,18.5,15.7,2.3,46
 SN2611, D161P,15,10,1.9,34
 SN2611, D161S,15,9.9,1.9,34
 SN2601, B140P,20.5,16,3.2,71
 SN2601, B140S,20.5,16,3.2,70
 SN2601, D722S,22,6.4,1,15
 SN2601, H130P,21.6,11.1,6.5,37
 SN2603, D110C,19.6,20,3.5,53
 SN2598, D522S,13.1,7.5,2.5,7
 SN2601, D111P,19.7,10.3,3.4,45
 SN2627, S100P,19.2,11.5,3.3,41
 SN2601, T310P,15.9,14.7,2.8,60
 SN2597, F310P,14.8,11.5,8.2,10
 SN2598, B130S,15.7,16.2,3.1,50
 SN2602, D210C,19.6,19.9,2.7,52
 SN2602, F530C,8.3,20.4,3.3,25
 SN2611, B200S,14.5,20.1,8,33
 SN2612, S13AP,20.8,5.4,2.7,24
 SN2612, S13AS,20.8,5.4,2.7,24
 SN2602, F540C,16.3,14.7,3.2,61
 SN2611, D191P,15,10,1.9,33
 SN2611, D411P,19.6,12.5,4.1,43
 SN2611, D191S,15,9.9,1.9,31
 SN2598, T110P,15,15.1,2.8,77
 SN2455, W820P,5.4,18.9,2.3,18
 SN2455, W820S,5.4,18.9,2.3,18
 SN2456, D293S,15.8,4.3,2,8
 SN2601, B120S,20,16,3.2,69
 SN2603, D201P,17.3,10,1.9,37
 SN2614, S620P,16.5,17.4,5.9,28
 SN2627, S131P,17.2,22.5,2.5,106
 SN2627, S131S,17.2,22.5,2.5,106
 SN2598, D311P,21.9,13.3,4.7,52
 SN2598, D521S,9.1,7.5,2.5,6
 SN2601, T120S,13.5,15.6,2.9,41
 SN2614, S380P,14.5,14,3.1,20
 SN2597, F310S,14.8,11.5,8.2,10
 SN2614, S380S,14.5,14,3.1,19
 SN2455, S120P,20,23.7,3.4,60
 SN2463, D39AP,20.2,4.9,2,16
 SN2463, D39AS,19.2,4.9,2,13
 SN2601, T120P,13.5,16.5,2.9,43
 SN2627, S090P,20.5,8.9,3.3,26
 SN2627, S090S,20.5,8.9,3.3,26
 SN2603, D500P,7.9,5.1,2.4,4
 SN2603, D500S,7.9,5.1,2.4,4
 SN2598, S111P,20.1,15.7,2.6,101
 SN2598, S111S,20.1,15.7,2.6,101
 SN2598, D620S,10,12.5,2.2,16
 SN2602, D170C,20,19.9,1.9,57
 SN2456, B121P,20,15.8,2.2,66
 SN2597, D410S,17.1,13.5,4.4,38
 SN2598, B140S,16.1,16.2,3.1,53
 SN2602, D410S,19.6,13,4.1,37
 SN2602, G130S,6.6,15.3,4.3,18
 SN2598, D712S,18.3,6.6,1,14
 SN2611, D401S,17.3,13.8,4.1,37
 SN2596, G140S,6.6,13.8,4.7,23
 SN2454, W820P,5.4,18.9,2.3,18
 SN2454, W820S,5.4,18.9,2.3,18
 SN2463, D39BP,20.2,4.9,2,15
 SN2463, D39BS,19.2,4.9,2,19
 SN2601, S121S,20.1,15.3,2.6,84
 SN2602, F220C,14.2,17.8,5.2,29
 SN2603, D401P,17.3,13.8,4.1,37
 SN2603, D401S,17.3,13.8,4.1,37
 SN2597, D210C,19.7,19.9,2.5,52
 SN2597, D410P,17.1,13.5,4.4,39
 SN2603, D181P,15.5,10,1.9,30
 SN2611, D371P,19.8,13.8,4.1,48
 SN2611, D371S,19.8,13.8,4.1,48
 SN2455, W831C,2.1,13.5,2.4,7
 SN2602, D840S,7.1,3.7,2.7,7
 SN2598, S121P,20,15.7,2.6,98
 SN2602, D400P,17.3,13,4.2,30
 SN2602, D400S,17.3,13,4.2,30
 SN2603, D181S,15.5,9.9,1.9,31
 SN2627, B120P,17.5,18.4,2.6,54
 SN2627, B120S,17.5,18.3,2.6,53
 SN2627, F210C,17.7,16.8,5.2,26
 SN2601, D620S,14.1,11.3,2.2,24
 SN2611, D181P,15.5,10,1.9,30
 SN2611, D181S,15.5,9.9,1.9,31
 SN2611, D401P,17.3,13.8,4.1,37
 SN2597, D370P,20.1,13.5,4.4,35
 SN2597, D370S,20.1,13.5,4.4,35
 SN2455, S402P,17.6,3.5,1.8,0
 SN2455, S402S,17.6,3.5,1.8,0
 SN2455, B200C,17.6,16.4,2.3,62
 SN2597, D180C,15.4,19.9,2.5,44
 SN2602, D180C,15.5,19.9,2.7,45
 SN2602, D190C,15,19.9,1.9,44
 SN2614, S620S,16.5,17.4,5.9,27
 SN2627, F110C,17.7,11.8,5.6,0
 SN2597, D170C,20,19.9,1.9,55
 SN2602, D370P,19.8,13,4.2,32
 SN2602, D140C,20,19.9,1.9,57
 SN2597, F220C,13.3,17.2,4.6,26
 SN2602, D150C,15.5,19.9,2.7,43
 SN2597, D190C,14.9,19.9,1.9,42
 SN2602, D160C,15,19.9,1.9,43
 SN2602, D370S,19.8,13,4.2,32
 SN2598, T120P,5.2,20,3,19
 SN2598, T120S,5.2,20.6,3,22
 SN2627, H310P,18,9.9,2.6,36
 SN2627, H310S,18,9.9,2.6,36
 SN2603, B140S,20.4,15.7,3.2,69
 SN2602, D130C,15.5,19.9,1.9,48
 SN2626, S160S,19.3,24.4,3.3,101
 SN2626, S160P,19.3,24.4,3.3,101
 SN2611, T340P,17.4,16.6,2.9,47
 SN2611, T330S,17.4,15.5,2.9,45
 SN2597, D320P,15.9,13.5,4.4,25
 SN2597, D310P,19.7,13.6,5.3,34
 SN2602, D120C,15.9,19.9,2.7,47
 SN2603, E430C,20.7,14.8,5.7,79
 SN2626, E560C,10.5,16.8,7.7,34
 SN2452, C710P,1.8,19,0.7,9
 SN2452, C710S,1.8,20,0.7,10
 SN2452, E660C,17.3,16.7,1.9,55
 SN2454, F310P,15.1,12.8,7.8,24
 SN2454, F310S,15.1,13.3,7.8,29
 SN2454, F520P,15.3,13.6,5.2,22
 SN2602, D620S,3.4,12.2,5.8,46
 SN2602, D730S,18.5,6.8,6.2,19
 SN2603, A210S,18,20.9,8,51
 SN2603, E380C,2.5,18.8,3.7,14
 SN2604, G140S,6.4,13.5,4.7,22
