길이	폭	높이	중량
31.4	44.7	3.1	0
31.4	44.7	3.1	0
31.4	44.7	2.8	0
10	10	4	
1.4	19.3	1.8	9
1.4	18.5	1.8	8
24	15.3	10.1	0
8.4	3.6	3.6	4
12.8	7	5.2	8
7.9	9	18.2	0
16.4	21	8	41
16.4	21	8	41
15.3	14.1	5.2	24
7.1	18.5	2.7	22
7.1	17.8	2.7	21
9.7	18.6	2.7	13
15.1	10.9	2.6	20
15.1	10.9	2.6	20
13.4	26	9.2	0
13.4	26	9.2	0
9.7	37	6.6	0
16.8	11	4.6	26
16.8	12.3	4.6	27
12.2	51	34.2	0
4.9	11.1	3.2	17
4.9	11.1	3.2	17
16.2	38.5	7.3	0
2.1	13.5	2.4	7
12.2	8.2	2.8	64
10	10	4	
15	16.6	4.8	32
16	16	9.3	42
17.9	10.8	3.8	38
14	9.8	3.1	39
20	23.8	5	0
20	23.8	5	0
17.1	25	5	0
17.1	25	5	0
19.7	25.3	7.6	0
16.2	17.3	5	0
1.8	20.4	0.7	11
1.8	19.4	0.7	11
1.8	20.4	0.7	10
1.8	19.4	0.7	11
16	22	4.3	56
16	20.2	6.6	72
16	19.2	6.6	65
16	41.2	7.6	0
30.2	20.5	10.8	0
30.2	17.8	10.8	0
13.4	19.1	2.9	53
13.1	19.2	5.2	44
30.8	18.5	7	0
30.8	18.5	7	0
9.8	5.2	1	10
12.9	15.2	6	38
12.9	15.8	6	42
12.5	15.8	5.2	47
19.7	6.5	2	13
2.8	2.6	2.6	2
