길이	폭	높이	중량
22.7	17.5	3.7	67
15	20.6	3.3	56
6	6	3.3	1
6	6	3.3	1
20.1	15.3	2.6	80
20.1	5.7	4.2	21
20.1	5.7	4.2	21
15.4	16.4	2.7	52
5.4	5.3	2.9	3
5.4	5.3	2.9	3
19.5	4.4	2.9	14
19.5	4.4	2.9	14
10	15	12	
10	10	12	
18	40.5	8	0
14.3	38.6	7.7	0
51	20	3.4	0
51	13.8	8.6	0
51	13.8	7.5	0
50.3	14.3	7.5	0
15.5	13	4.2	24
15	13.5	4.9	24
15.5	13	4.2	25
15.5	13	4.2	25
15	13	4.2	24
15	13	4.2	23
9.1	5.8	4	10
5.8	12.1	3.4	13
14.5	5.2	5.9	7
18.4	10.5	4.2	49
10	17.2	5.9	21
7.9	4.5	3.7	8
2.4	3.9	4.1	2
50.6	16.7	8	0
50.6	16.7	8	0
17	42.2	11.2	0
27	19.4	5.1	0
21.1	14	5.6	74
21.1	14	5.3	59
13.9	24.1	3.2	0
14.1	10.6	5.1	8
14.1	10.6	5.1	8
9.8	8.2	4.6	6
13	12.7	6	0
14.1	11.5	8.2	9
14.1	11.5	8.2	9
14.1	17.5	8.2	21
8.9	5	3.8	4
17.7	15.5	8.2	42
17.7	15.5	8.2	45
8.3	14.5	8.2	8
16.3	17	8.1	35
17.7	18.5	6.3	81
17.7	18.5	6.3	68
3.5	2.9	1.6	3
3.5	2.9	1.6	3
2.8	4.4	1.6	2
15.7	16.7	2.8	33
15.7	15.7	2.8	32
10	10	4	
10	10	12	
10	10	12	
6.3	4.8	11.5	19
18	20.9	8	53
19.5	40.9	6	0
14.5	20.1	8	33
17.3	9.9	1.9	36
19.6	9.9	1.9	43
15.9	13.5	4.2	25
15.9	13.5	4.2	26
15.5	13	4.2	24
15.5	13	4.2	25
15.5	13	4.2	24
15.5	13.5	4.9	24
15	13.5	4.9	23
15	13	4.2	23
15.5	13	4.2	25
15.5	13	4.2	25
15.5	13.8	4.1	35
15	13.8	4.1	36
15	13.8	4.1	37
19.6	12.5	4.1	43
31	5	2.2	0
3.5	5	2.2	2
3.4	12.2	5.8	46
5.8	12.1	3.4	12
18.4	10.5	4.6	29
14.5	5.2	5.9	7
7.5	12.3	3.1	32
18.5	6.8	6.2	19
18.4	10.5	4.2	49
7.9	4.5	3.7	7
2.4	3.9	4.1	2
7.1	3.7	2.7	7
50.6	16.7	8	0
50.6	16.7	8	0
24.8	13.4	5.7	0
17	42.2	11.2	0
24.8	20.8	3.4	0
27.4	15.4	5.5	0
27.4	15.4	5.5	0
27	19.4	5.1	0
20.7	15.6	5.7	58
21	16.1	5.7	72
21	13.5	5.7	79
20.8	13.7	5.3	49
21.1	14	5.3	59
20.8	19.2	5.2	102
14.2	8.5	3.8	40
14.2	7.5	3.8	32
10.2	4.7	3.1	13
10.2	4.7	3.1	13
16.2	8.2	4	32
16.2	8.2	4	32
10	5.5	4	13
10.2	5.5	4	15
12.6	10.7	3.8	20
12.6	10.7	3.8	20
11.9	11	3.8	11
11.9	11	3.8	12
6.5	9.5	7.2	10
6.5	9.5	7.2	10
21.3	11.2	7.8	34
21.3	11.1	7.8	34
21.5	11.1	5.6	35
20.8	11.2	6.5	33
20.8	11.2	6.5	33
42.7	20.8	8.3	0
42.7	20.8	8.3	0
41.2	19.8	7	0
41.2	19.8	7	0
30.8	29.8	2.7	0
30.8	31.9	2.7	0
17.4	15.5	2.9	46
5.4	5.7	2.7	7
5.4	5.7	2.7	7
10	10	4	
8	8	12	
36.4	20.6	1.9	0
50.1	13.4	4.3	0
50.1	13.4	4.3	0
37.1	12	3.5	0
37.1	12	3.5	0
10.2	12.4	2	17
16.1	19.3	6.7	36
17.5	19.3	6.7	50
42.5	15	5.5	0
42.5	15	5.5	0
27.6	19.2	5.2	0
21.3	45.8	5.8	0
23.7	24.1	5.5	123
14.8	33	15.5	0
31.4	19.5	15.6	0
16.1	43.3	13.3	0
30	36.2	12.6	0
8.6	6.4	2.4	39
8.6	6.4	2.4	39
10	10	4	
6.3	4.8	10.7	18
19.4	14.5	8.9	113
19.4	14.5	8.9	129
18.8	8.6	6.1	50
18.8	8.6	6.1	50
14.6	11.3	2.2	23
17.4	16.6	7.8	27
17.4	16.6	7.8	26
10.8	11.5	2.7	32
15	11.8	3.7	26
11	11.9	5.2	26
7.7	9.2	4.1	18
15	20.9	4	73
10.1	19	3.4	39
17.1	17.5	6.3	82
14.9	4.8	3	21
14.9	4.8	3	22
12.1	15.4	4.9	27
14.8	5.7	3.4	11
5.9	5.7	2.3	7
9.5	5.2	1.6	9
9.5	5.2	3.8	11
11.7	5.2	2.7	16
11.7	5.2	2.2	14
16.1	19	1.8	54
5.6	5.1	2.5	5
5.6	5.1	2.5	5
16.1	5	2.6	18
10.2	21.3	6.2	83
10.2	21.2	6.2	80
12.9	19	6.2	66
12.9	19.2	6.2	58
10.2	19.7	3.6	54
10.2	19.6	3.6	54
11.7	17.5	3.6	34
11.7	17.5	3.6	33
22.9	17.5	3.6	69
22.9	17.5	3.6	68
21.7	17.5	3.6	65
21.7	17.5	3.6	64
21.3	5.4	2.7	25
21.3	5.4	2.7	25
10	10	4	
10	10	12	
10	15	12	
10	15	12	
10	17	12	
10	10	12	
10	10	12	
17.3	7.7	3.1	21
15.2	6.9	4.3	19
15.2	6.9	4.3	21
4	6.9	4.8	5
4	7.2	4.8	6
7.3	3.2	2.4	9
7.3	3.2	2.4	9
9.9	5.2	4.7	11
9.9	5.2	4.7	10
7.7	4.8	3.8	10
4.5	4.8	3.8	6
10	15	12	
10	15	12	
6.3	4.8	11.5	19
6.3	4.8	11.5	19
21.7	23	8.7	
21.7	22.9	8.7	
20.6	23	8.7	0
20.6	22.9	8.7	0
39.8	23	8.7	0
39.8	22.9	8.7	0
30.3	16.8	7.8	0
30.3	16.8	7.8	0
14.5	20.1	8	32
19.6	20	3.5	53
15.9	19.9	2.7	47
15.9	13.5	4.2	25
15.9	13.5	4.2	25
15.5	13	4.2	24
15.5	13	4.2	24
15.5	13	4.2	24
15.5	13.5	4.9	24
15	13.5	4.9	23
15	13	4.2	23
15.5	13.8	4.1	35
15.5	13.8	4.1	35
15	13.8	4.1	36
15	13.8	4.1	37
19.6	12.5	4.3	43
3.5	5	2.2	2
3.4	12.2	5.8	17
5.8	12.1	3.4	12
18.4	10.5	4.6	28
14.5	5.2	5.8	7
7.5	12.3	3.1	25
18.5	6.8	6.2	19
18.4	10.5	4.2	49
7.9	4.5	3.7	7
2.4	3.9	4.1	2
7.1	3.7	2.7	7
50.6	16.7	8	0
50.6	16.7	8	0
24.8	13.4	5.7	0
24.8	20.8	3.4	0
15	13.4	5	25
15	13.4	5	25
27.4	15.4	5.5	0
27.4	15.4	5.5	0
27	19.4	5.1	0
20.7	15.6	5.7	58
21	16.1	5.7	69
21	16.1	5.7	72
20.7	14.8	5.7	81
21	13.5	5.7	79
20.8	13.7	5.3	49
20.8	13.7	5.3	51
21.1	14	5.6	74
21.1	14	5.3	59
20.8	19.2	5.2	102
23.1	18.8	5.2	99
14.1	12.3	3.5	21
14.1	12.3	3.5	21
10.2	4.7	3.1	13
10.2	4.7	3.1	13
14.2	8.1	5.3	25
14.2	8.1	5.3	25
15.2	6.7	2.8	11
15.2	6.7	2.8	11
7.5	11.2	3.6	15
7.5	11.2	3.6	15
6.6	15.3	4.3	18
21.3	11.2	7.8	34
21.3	11.1	7.8	34
30.3	14.3	3.2	0
10.2	20.9	6.3	84
10.2	20.8	6.3	79
22.9	45.8	22.8	0
42.7	20.8	8.3	0
42.7	20.8	8.3	0
41.2	19.8	7	0
41.2	19.8	7	0
40	19.9	7	0
40	19.9	7	0
35.2	20.3	11.9	0
35.2	20.3	11.9	0
30.8	29.8	2.7	0
30.8	31.9	2.7	0
13.4	16.4	2.9	42
10	10	4	
10	10	12	
6.3	4.8	11.5	19
6.3	4.8	11.5	19
20.6	15.7	3.2	109
17.4	16.6	7.8	29
17.4	16.6	7.8	27
8.9	11.2	6.7	1
9.9	5.4	2.4	7
10.8	11.5	2.7	31
14.9	20.8	3.1	67
9.8	18.9	3.4	38
14.9	4.9	3.2	20
14.9	4.9	3.2	22
14.9	4.9	3.8	18
14.9	4.9	3.8	18
7.7	4.8	3.3	13
4.6	4.8	3.3	8
12.2	5.7	3.1	13
12.2	5.7	3.1	14
14.8	14.4	5.4	34
14.8	14.4	5.4	30
15.1	7.6	4.1	20
14.8	4.8	2.2	11
14.8	4.8	2.2	11
5.7	9.6	1.5	11
5.7	9.6	1.5	11
11.8	5.7	2.5	16
11.8	5.7	2.9	18
16	5.7	1	13
16	5.7	1	13
16.1	7.9	1.9	20
16.1	7.9	1.9	20
10.4	5.1	3.1	13
9.6	5.1	2.9	14
20.7	5.1	2.8	16
20.7	5.1	2.8	15
5.1	11.2	2.6	11
5.1	11.2	4.6	10
9.5	5.2	1.6	9
9.5	5.2	3.9	13
5.1	8.7	4.1	4
16.1	19	1.8	54
3.5	2.3	1.7	3
3.5	2.3	1.7	3
16.1	5	2.6	21
16.1	5	2.6	21
20.8	6.2	5.4	50
20.8	6.2	5.4	50
22.9	45.8	22.8	0
10.2	19.8	3.6	54
10.2	19.8	3.6	55
11.7	15.3	3.6	32
11.7	19.4	3.6	41
21.7	17.6	3.5	64
21.7	17.4	3.5	61
21.7	17.5	3.6	66
21.7	17.4	3.6	65
22.3	18.1	3.8	71
21.1	17.4	3.8	68
17.4	20	3.3	60
21.3	5.4	2.7	25
21.3	5.4	2.7	25
20.4	5.4	2.7	22
20.4	5.4	2.7	22
5.9	10.3	4.1	9
5.9	10.3	4.1	9
13.4	15.5	2.8	81
13.4	15.5	2.8	74
5.3	4.9	2.8	6
5.3	4.9	2.8	6
10	15	12	
10	15	12	
10	12	12	
10	10	12	
10	10	12	
8	8	12	
8	8	12	
10	15	12	
10	15	12	
10	15	12	
10	15	12	
26.4	40.9	12.7	0
10	10	4	
12.2	10.2	11.5	30
16.8	16.8	4.3	31
4.7	14.4	5.1	18
4.5	14.7	2.8	23
14.3	14.2	4.7	0
14.3	14.2	4.7	0
14.7	15	4.8	0
14.7	15	4.8	0
14.7	15	4.8	0
14.7	15	4.8	0
14.5	33.3	4.7	0
14.5	18.2	4.8	2
8.1	5.8	1.5	8
33.8	43.1	12.5	0
28.7	25.9	9.9	0
28.7	16.8	4.7	0
16.7	41.9	7.9	0
28.7	17.1	5.3	0
15.7	18.3	7.5	27
15.7	18.3	7.5	28
10.7	17.6	4.3	52
13.4	14.9	7.1	38
13.4	12	7.1	31
14.6	14.6	7.2	34
14.6	13.6	7.2	30
15.2	14.1	6.5	33
15.2	14.1	6.5	33
15	14	3.4	33
15	14	3.4	33
10.3	12.5	7.2	23
12.7	4.4	1.2	9
27.8	14.5	6.9	0
27.8	14.5	6.9	0
12.8	14.5	5.4	49
15	14.5	2	57
14.7	5.5	1.8	14
17.6	21.8	5.2	0
7.5	5.4	2.5	11
7.5	5.4	2.5	13
10	2.9	2.8	6
10	2.9	3.6	6
12.8	10.8	5.2	11
12.8	10.8	5.2	13
5.1	11.4	3.6	11
5.1	11.4	3.6	11
5.8	4.8	3	5
11.4	11.6	4	24
11.4	11.6	4	24
13.2	6	3	17
4	11.4	1.5	11
5.5	6.4	6.9	13
10.9	14.7	4.4	25
14.8	11.4	5.6	16
14.8	11.4	5.6	16
16.1	11.1	4.5	15
16.1	11.1	4.5	15
14.3	6.9	3.1	17
14.5	14	5.2	18
14.5	14	5.2	18
16.8	12.6	8.4	16
16.8	12.6	8.4	17
14.5	6.3	3.1	14
14.5	6.3	3.1	14
14.6	6.3	4	2
14.6	6.3	4	2
14.6	14.8	2.8	25
14.6	14.8	2.8	25
14.6	10.7	2.2	34
14.6	10.7	2.2	34
7.5	10.2	2.6	44
10	10	4	
10	10	4	
10	15	12	
10	15	12	
10	15	12	
10	10	12	
5.1	4.7	4.9	7
5.1	4.7	4.9	8
22.2	15	4.7	0
22.2	15	4.7	0
22.2	15	4.7	0
22.2	15	4.7	0
14.5	20.8	4.7	0
14.5	18.3	4.7	0
1.7	14.6	0.7	7
1.7	14.6	0.7	6
21.5	11.5	5.6	0
21.5	11.5	5.6	0
11.1	14.1	5.8	12
11.1	14.1	5.8	19
11	15	5.5	28
11	14.3	5.5	30
10.6	15.1	5.5	37
10.6	14.3	5.5	35
6.6	5.4	5.8	8
6.6	5.4	5.8	8
14.2	39.1	5.1	0
15	27.4	5.9	0
11.9	9	4.7	4
10.8	4	7.3	0
28.7	16.8	4.7	0
28.7	16.8	4.7	0
10.2	14.1	6	10
10.2	14.9	6	13
14.6	15.6	5.3	33
9.6	10.4	5.2	20
2	9.1	2.8	8
12	12	4	6
14.2	17.5	5.4	40
14.2	17.5	5.4	42
14.5	17.7	5.5	43
10.7	9	5.4	18
7.1	12	5.2	15
7.1	12	5.2	17
14.9	7.1	2	22
11.2	7.1	2	17
8.5	4.1	1.7	5
15.2	4.7	1.8	25
15.2	4.7	1.8	25
14.6	3	1.1	18
14.6	3	1.1	18
5.2	8.9	5.2	13
9.9	5.3	2	7
9.9	5.3	2	7
11.6	2.4	1.9	6
7.9	6.8	2.2	11
22.2	13.3	2	0
22.2	13.3	2	0
17.6	11.6	8.3	28
17.6	11.6	8.3	28
10.5	15.8	4.3	52
11	12.7	4.3	39
10.2	7.5	4.4	25
10.2	7.5	4.4	24
10.2	15.7	4.1	44
10.2	12.6	4.1	33
10.2	7.5	4.1	25
10.2	7.5	4.1	25
10.2	19.6	3.1	42
10.2	16.4	3.1	33
10.1	23.1	3.5	42
10.1	23.1	3.5	39
10.1	15.7	3.1	34
10.1	15.7	3.1	25
11	2.8	2.6	9
11	2.8	2.6	9
14.8	3.1	1.8	8
14.8	3.1	1.8	8
14.8	5.8	2.8	22
14.8	5.8	2.8	22
12.9	15	3.1	37
16.1	11.1	4.5	15
16.1	11.1	4.5	15
16.8	12.6	4.8	18
16.8	12.6	4.8	18
13.2	6.9	7	19
13.2	6.9	7	16
12.7	6.9	7	15
12.7	6.9	7	15
20	20	4	
10	10	12	
10	10	12	
10	10	12	
3.3	11	3.1	14
2.7	10	2	5
2.7	10	2	5
15	9.1	3.8	27
15	9.1	3.8	27
10.2	5.6	1.9	13
10.2	5.6	1.9	9
10.2	5.1	2.6	7
10.2	4.2	3	6
10.2	4.2	3	6
6.4	3.4	1.1	5
6.4	5.6	1.7	6
14.2	5.5	3.9	15
14.2	5.5	3.9	15
14.5	5.2	1.4	11
14.5	5.2	1.4	11
6.4	4.3	2.3	10
6.4	4.3	2.3	10
10.3	5.8	2.6	7
10.3	5.8	2.6	7
13.2	5.6	1.7	20
13.2	5.6	1.7	20
12.7	5.6	1.7	21
12.7	5.6	1.7	21
10	15	12	
10	15	12	
10	10	12	
34.1	36.3	4.8	0
12.9	39	5.9	0
29.3	51	29.2	0
56.6	51	29.2	0
16	10.7	0.8	48
14.3	21.7	4.8	101
11.9	21.7	4.8	111
27	44.5	2	0
27	44.5	2	0
27	44.5	2	0
27	39.4	2	0
10	10	4	
10	10	4	
15	12	12	
16	12	12	
11.6	4	11.2	27
9.2	21.4	5.3	46
17.3	10.8	3.2	30
17.3	10.8	3.2	30
17	26.2	4.9	85
17	24.8	4.9	78
11.9	9.1	4.6	21
11.9	9.1	4.6	21
17.2	25.8	7.4	0
17.2	25.8	7.4	0
18.5	15.8	2.3	47
17	21.5	3.1	0
13	19.6	4.2	41
13	18.6	4.2	46
11.9	19.8	1.6	35
13	20	5.3	59
13	19	5.3	57
11.7	31.5	5.8	0
11.7	18.2	7.1	37
28.8	19.6	7.4	0
17.1	18	6.5	36
16	13.9	7.2	23
16	12.4	6.7	23
14.3	11.1	4.3	30
11.7	20.7	5.2	33
17.1	20.7	7.1	69
17.1	19.4	7.1	59
5.9	2	2.6	4
5.9	2	2.6	2
11.9	23.5	7.8	51
11.9	23.5	7.8	50
13.8	14	6.9	37
13.8	14	6.9	35
18.8	8.4	5.3	29
21.1	7.8	5.4	19
21.1	7.8	5.4	19
17.9	4.9	4.4	19
17.9	4.9	4.4	19
14.7	18.5	5.2	28
18.1	9.2	6.6	16
18.1	9.2	6.6	16
18.5	7.4	6.2	24
18.5	7.4	6.2	24
17	12.1	2.6	58
9.4	10	2.3	52
10	15	12	
17.8	7.9	1.7	18
8.2	13.6	3.2	20
8.2	13.6	3.2	20
10	15	12	
10	10	12	
10	10	12	
44.3	19.3	6.8	0
21.3	18.5	6.7	0
10.3	5.8	2.9	15
10	10	4	
10	10	4	
10	10	4	
10	15	4	
8	8	4	
8	8	4	
10	10	4	
10	10	4	
10	10	4	
10	15	4	
10	10	4	
10	10	4	
10	10	4	
15	15	12	
10	10	12	
10	10	12	
15	38	12	
20	30	12	
42	15	12	
55	20	12	
6	6	12	
10	10	12	
10	35	12	
20	20	12	
20	20	12	
25	30	12	
27	18	12	
45	25	12	
55	18	12	
20	10	12	
22	10	12	
8	8	12	
15	15	12	
25	8	12	
25	10	12	
13	20	12	
10	10	12	
10	10	12	
12	18	12	
12	18	12	
18	15	12	
18	15	12	
10	10	12	
10	10	12	
10	10	12	
20	60	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
19	13	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
17	21	12	
10	10	12	
20	30	12	
30	20	12	
10	10	12	
18	18	12	
18	18	12	
18	18	12	
18	18	12	
18	18	12	
18	18	12	
10	10	4	
10	10	4	
10	10	4	
10	10	4	
10	10	4	
10	10	4	
10	10	4	
10	10	4	
10	10	4	
10	10	4	
10	10	4	
10	10	4	
10	10	4	
10	10	4	
10	10	4	
10	10	4	
10	10	4	
10	10	4	
10	10	4	
5	5	4	
5	5	12	
5	5	12	
5	5	12	
5	5	12	
5	5	12	
5	5	12	
10	10	4	
10	10	4	
10	10	4	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	4	
18	18	12	
20	30	12	
10	10	12	
20	10	12	
50	10	12	
67	30	12	
70	10	12	
30	10	12	
30	5	12	
20	10	12	
25	30	12	
16	22	12	
25	15	12	
25	16	12	
25	15	12	
10	20	12	
20	26	12	
10	10	12	
11	14	12	
14	11	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
20	10	12	
35	12	12	
15	10	12	
10	10	12	
60	12	12	
18	55	12	
15	15	12	
10	10	12	
15	15	12	
45	5	12	
15	15	12	
11	15	12	
40	10	12	
10	10	12	
30	40	12	
18	18	12	
18	18	12	
30	30	12	
10	10	12	
10	10	12	
10	10	12	
15	18	12	
18	15	12	
18	18	12	
15	25	12	
20	10	12	
20	15	12	
20	23	12	
10	10	12	
10	10	12	
10	10	12	
30	5	12	
10	10	12	
