length,width,height,count,location
21.0,18.0,1000.0,1,덕곡1
22.0,16.0,1000.0,1,덕곡1
22.0,17.0,1000.0,1,덕곡1
22.0,22.0,1000.0,1,덕곡1
23.0,20.0,1000.0,1,덕곡1
12.0,12.0,5.0,1,덕곡2
13.0,13.0,5.0,1,덕곡2
14.0,13.0,5.0,1,덕곡2
15.0,12.0,5.0,1,덕곡2
16.0,14.0,5.0,1,덕곡2
16.0,16.0,5.0,1,덕곡2
17.0,13.0,5.0,1,덕곡2
18.0,13.0,5.0,1,덕곡2
18.0,14.0,5.0,1,덕곡2
19.0,14.0,5.0,1,덕곡2
20.0,14.0,5.0,1,덕곡2
21.0,12.0,5.0,1,덕곡2
22.0,22.0,5.0,1,덕곡2
23.0,18.0,5.0,1,덕곡2
23.0,20.0,5.0,1,덕곡2
23.0,21.0,5.0,1,덕곡2
17.0,15.0,5.0,2,덕곡2
19.0,14.0,5.0,2,덕곡2
23.0,19.0,5.0,2,덕곡2
14.0,12.0,5.0,1,덕곡2
17.0,14.0,5.0,1,덕곡2
18.0,13.0,5.0,1,덕곡2
18.0,17.0,5.0,1,덕곡2
20.0,13.0,5.0,1,덕곡2
20.0,14.0,5.0,1,덕곡2
20.0,15.0,5.0,1,덕곡2
21.0,17.0,5.0,1,덕곡2
21.0,18.0,5.0,1,덕곡2
21.0,19.0,5.0,1,덕곡2
22.0,22.0,5.0,1,덕곡2
23.0,14.0,5.0,1,덕곡2
23.0,15.0,5.0,1,덕곡2
13.0,13.0,1000.0,1,신한내
15.0,13.0,1000.0,1,신한내
16.0,14.0,1000.0,1,신한내
17.0,14.0,1000.0,1,신한내
18.0,14.0,1000.0,1,신한내
19.0,12.0,1000.0,1,신한내
20.0,17.0,1000.0,1,신한내
20.0,18.0,1000.0,1,신한내
21.0,20.0,1000.0,1,신한내
22.0,14.0,1000.0,1,신한내
22.0,15.0,1000.0,1,신한내
22.0,16.0,1000.0,1,신한내
23.0,19.0,1000.0,1,신한내
17.0,15.0,1000.0,2,신한내
18.0,14.0,1000.0,2,신한내
17.0,13.0,1000.0,1,신한내
18.0,12.0,1000.0,1,신한내
18.0,16.0,1000.0,1,신한내
18.0,18.0,1000.0,1,신한내
19.0,18.0,1000.0,1,신한내
20.0,19.0,1000.0,1,신한내
20.0,20.0,1000.0,1,신한내
21.0,15.0,1000.0,1,신한내
21.0,18.0,1000.0,1,신한내
21.0,19.0,1000.0,1,신한내
23.0,12.0,1000.0,1,신한내
23.0,17.0,1000.0,1,신한내
13.0,12.0,1000.0,1,신한내
17.0,17.0,1000.0,1,신한내
19.0,14.0,1000.0,1,신한내
20.0,14.0,1000.0,1,신한내
20.0,15.0,1000.0,1,신한내
20.0,16.0,1000.0,1,신한내
20.0,19.0,1000.0,1,신한내
21.0,19.0,1000.0,1,신한내
21.0,21.0,1000.0,1,신한내
22.0,14.0,1000.0,1,신한내
22.0,15.0,1000.0,1,신한내
23.0,16.0,1000.0,1,신한내
18.0,15.0,1000.0,2,신한내
14.0,13.0,1000.0,1,신한내
21.0,13.0,1000.0,1,신한내
23.0,15.0,1000.0,1,신한내
22.0,16.0,1000.0,1,신한내
22.0,13.0,1000.0,1,신한내
21.0,21.0,1000.0,1,신한내
21.0,18.0,1000.0,1,신한내
21.0,14.0,1000.0,1,신한내
20.0,19.0,1000.0,1,신한내
15.0,14.0,1000.0,1,신한내
20.0,16.0,1000.0,1,신한내
19.0,18.0,1000.0,1,신한내
19.0,15.0,1000.0,1,신한내
19.0,13.0,1000.0,1,신한내
16.0,16.0,1000.0,1,신한내
16.0,13.0,1000.0,1,신한내
23.0,19.0,1000.0,1,신한내
16.0,15.0,1000.0,1,신한내
17.0,13.0,1000.0,1,신한내
17.0,15.0,1000.0,1,신한내
18.0,12.0,1000.0,1,신한내
18.0,13.0,1000.0,1,신한내
19.0,12.0,1000.0,1,신한내
19.0,16.0,1000.0,1,신한내
21.0,13.0,1000.0,1,신한내
21.0,19.0,1000.0,1,신한내
22.0,13.0,1000.0,1,신한내
22.0,18.0,1000.0,1,신한내
22.0,20.0,1000.0,1,신한내
23.0,13.0,1000.0,1,신한내
23.0,14.0,1000.0,1,신한내
23.0,19.0,1000.0,1,신한내
18.0,15.0,1000.0,2,신한내
20.0,17.0,1000.0,2,신한내
14.0,12.0,1000.0,1,신한내
15.0,14.0,1000.0,1,신한내
16.0,12.0,1000.0,1,신한내
18.0,13.0,1000.0,1,신한내
18.0,17.0,1000.0,1,신한내
19.0,14.0,1000.0,1,신한내
20.0,18.0,1000.0,1,신한내
21.0,15.0,1000.0,1,신한내
